"","pageTitle","source","medium","defaultChannelGroup","donate_pageview"
"57","Aaron Brickman - RMI","google","organic","Organic Search",0
"58","Aaron Schwartz - RMI","bing","organic","Organic Search",0
"59","Abigail Alter - RMI","google","organic","Organic Search",0
"60","Abordagem da RMI para Combustíveis Fósseis - RMI","br.search.yahoo.com","referral","Organic Search",0
"61","About - RMI","(direct)","(none)","Direct",0
"62","Accelerated Clean Energy Development Could Save Americans $5 Billion Annually, Protecting against Inflation and Rising Natural Gas Prices - RMI","google","organic","Organic Search",0
"63","Accelerating Bangalore's Mobility Transition - RMI","google","organic","Organic Search",0
"64","Accelerating Campus Climate Initiatives: Breaking Through Barriers - RMI","google","organic","Organic Search",0
"65","Accelerating Clean Regional Economies: A Great Lakes Investment Strategy - RMI","(direct)","(none)","Direct",0
"66","Accelerating Delhi's Mobility Transition - RMI","(direct)","(none)","Direct",0
"67","Accelerating Methane Reductions with Robust Independent Certification - RMI","(direct)","(none)","Direct",0
"68","Accelerating the Energy Transition - RMI","(direct)","(none)","Direct",0
"69","Accelerating the Energy Transition in the Critical Decade: Raising Ambition and Implementing at Scale - RMI","(direct)","(none)","Direct",0
"70","Accounting for Impact - RMI","linkedin.com","referral","Organic Social",0
"71","Achievements and Challenges of Uganda’s Power Sector - RMI","(direct)","(none)","Direct",0
"72","Achieving Clean Energy Legislation in a Moderate State - RMI","google","organic","Organic Search",0
"73","Achieving Low-Cost Solar PV: Industry Workshop Recommendations for Near-Term Balance-of-System Cost Reductions - RMI","(direct)","(none)","Direct",0
"74","Achieving Passivhaus Standard in North America: Lessons Learned - RMI","(direct)","(none)","Direct",0
"75","Achieving Radically Energy Efficient Retrofits: The Empire State Building Example - RMI","bing","organic","Organic Search",0
"76","Achieving Universal Energy Access by 2030: An Integrated Approach - RMI","google","organic","Organic Search",0
"77","Adam Beitman - RMI","bing","organic","Organic Search",0
"78","Adam Klauber - RMI","google","organic","Organic Search",0
"79","Adapting to Fire: How Cities Can Enhance Resilience with Distributed Energy - RMI","bing","organic","Organic Search",0
"80","Addressing Plastics’ Climate Risk - RMI","(direct)","(none)","Direct",0
"81","Adefunke Sonaike - RMI","app.mural.co","referral","Referral",0
"82","Advanced Clean Cars II: Cutting Pollution while Strengthening Local Economies - RMI","(direct)","(none)","Direct",0
"83","Advanced Clean Cars II: 지역 경제를 강화하면서 오염 감소 - RMI","google","organic","Organic Search",0
"84","Advanced Light Vehicle Concepts - RMI","google","organic","Organic Search",0
"85","Advanced, Non-Food Biofuels Come of Age - RMI","google","organic","Organic Search",0
"86","Advancing Military Microgrids - RMI","(direct)","(none)","Direct",0
"87","Africa Archives - Page 6 of 6 - RMI","google","organic","Organic Search",0
"88","Africa Archives - RMI","go.mail.ru","organic","Organic Search",0
"89","Africa Energy Program - RMI","(direct)","(none)","Direct",0
"90","After Pipeline Rejection, New York Must Chart a New Energy Path - RMI","google","organic","Organic Search",0
"91","Aging Buildings and the Climate Emergency: Opportunity Knocks! - RMI","google","organic","Organic Search",0
"92","Ahora es el momento de apostar por las bombas de calor - RMI","spark","email","Email",0
"93","Airlines Unite with Tech Sector and Academia to Tackle Climate Challenge of Aviation Contrails - RMI","google","organic","Organic Search",0
"94","Airtightness in Buildings: Don’t Let it Slip Through the Cracks! - RMI","google","organic","Organic Search",0
"95","Alessandra R. Carreon - RMI","aljazeera.com","referral","Referral",0
"96","Alex Piper - RMI","google","organic","Organic Search",0
"97","Alexander Komakech Akena - RMI","google","organic","Organic Search",0
"98","Alexandra Jardine Wall - RMI","google","organic","Organic Search",0
"99","Ali Rotatori - RMI","google","organic","Organic Search",0
"100","Aliança de Compradores de Aviação Sustentável (SABA) - RMI","bing","organic","Organic Search",0
"101","Aligning Utility Performance with the Public Interest - RMI","google","organic","Organic Search",0
"102","Aligning the EU’s Natural Gas Policymaking with Its Climate Goals - RMI","google","organic","Organic Search",0
"103","Alisa Petersen - RMI","bing","organic","Organic Search",0
"104","All-Electric Homes - RMI","(direct)","(none)","Direct",0
"105","All-Electric New Homes: A Win for the Climate and the Economy - RMI","(direct)","(none)","Direct",0
"106","Alliance Partners - RMI","bing","organic","Organic Search",0
"107","Aluminum Sector - RMI","(direct)","(none)","Direct",0
"108","America Is All In - RMI","(direct)","(none)","Direct",0
"109","America Pledge - RMI","google","organic","Organic Search",0
"110","Amory Lovins - RMI","(direct)","(none)","Direct",0
"111","Amory Lovins Archives - RMI","google","organic","Organic Search",0
"112","Amory Lovins' articles on Germany's energy transition - RMI","google","organic","Organic Search",0
"113","Amory Lovins’s Extreme Energy Efficiency: Stanford Students Learn the Future of Design - RMI","google","organic","Organic Search",0
"114","Amory's Private Residence - RMI","(direct)","(none)","Direct",0
"115","Amory's Work - RMI","google","organic","Organic Search",0
"116","Amorys private Residenz – RMI","google","organic","Organic Search",0
"117","An Alaskan Island Goes 100% Renewable - RMI","google","organic","Organic Search",0
"118","An Award-Winning Efficiency Program in Fort Collins, Colorado - RMI","qir","email","Email",0
"119","An Efficiency Opportunity at the Heart of Ethiopia’s Growth and Transformation - RMI","google","organic","Organic Search",0
"120","An Equitable, Low-Carbon Way to End Global Energy Poverty - RMI","google","organic","Organic Search",0
"121","An Opportunity to Make Home Retrofits More Affordable - RMI","(direct)","(none)","Direct",0
"122","Ana Sophia Mifsud - RMI","google","organic","Organic Search",0
"123","Analysis: Minnesotans Would Save up to $91 Billion from Climate-Smart Transportation - RMI","(direct)","(none)","Direct",0
"124","Andrew Allee - RMI","(direct)","(none)","Direct",0
"125","Andrew Chen - RMI","google","organic","Organic Search",0
"126","Anish Tilak - RMI","aceee.org","referral","Referral",0
"127","Ankit Kalanki - RMI","(direct)","(none)","Direct",0
"128","Anna Zetkulic - RMI","google","cpc","Paid Search",0
"129","Annual Report 2021 - RMI","(direct)","(none)","Direct",0
"130","Annual Report 2022 - RMI","(direct)","(none)","Direct",0
"131","Annual Report 2023 - RMI","(direct)","(none)","Direct",0
"132","Apples, Oranges, and Horned Toads - RMI","google","organic","Organic Search",0
"133","Applied Hope - RMI","(direct)","(none)","Direct",0
"134","Applied Hope: Commencement Remarks to the Natural Science School University of California at Berkeley - RMI","(direct)","(none)","Direct",0
"135","Architecting Indonesia’s Record-Setting Climate Deal - RMI","(direct)","(none)","Direct",0
"136","Archives - RMI","(direct)","(none)","Direct",0
"137","Are Residential Demand Charges The Next Big Thing in Electricity Rate Design? - RMI","google","organic","Organic Search",0
"138","Are We Ready for Another Uri? - RMI","google","organic","Organic Search",0
"139","Ari Kahn - RMI","bing","organic","Organic Search",0
"140","Ashna Aggarwal - RMI","google","organic","Organic Search",0
"141","Ask Amory - RMI","(direct)","(none)","Direct",0
"142","Assessing the Electric Productivity Gap and the U.S. Efficiency Opportunity - RMI","google","organic","Organic Search",0
"143","At COP28, RMI launches the first finance framework to support the decarbonization of aluminum production: the Sustainable Aluminum Finance Framework - RMI","app.meltwater.com","referral","Referral",0
"144","Auri Bukauskas - RMI","google","organic","Organic Search",0
"145","Autocomposites Workshop Pre-Read - RMI","google","organic","Organic Search",0
"146","Autodesk AEC Headquarters and Integrated Project Delivery: Factor Ten Engineering Case Study - RMI","(direct)","(none)","Direct",0
"147","BEM Summit Pre-read - RMI","(direct)","(none)","Direct",0
"148","Bangalore Urban Mobility Lab - RMI","google","organic","Organic Search",0
"149","Banking on Electric Vehicles in India - RMI","google","organic","Organic Search",0
"150","Banks Bet on Green Steel - RMI","bing","organic","Organic Search",0
"151","Banks and Climate Action: Taking Stock of Recent Commitments - RMI","(direct)","(none)","Direct",0
"152","Barcelona: Spain’s Ciudad del Sol - RMI","google","organic","Organic Search",0
"153","Battery Circular Economy Initiative - RMI","(direct)","(none)","Direct",0
"154","Battery Circular Economy Initiative Dashboard - RMI","(direct)","(none)","Direct",0
"155","Beating the Heat: A Sustainable Cooling Handbook for Cities - RMI","(direct)","(none)","Direct",0
"156","Beating the Heat: The Summer Clean Energy Records Worth Celebrating - RMI","google","organic","Organic Search",0
"157","Belle Ucherkemur - RMI","google","organic","Organic Search",0
"158","Ben Holland - RMI","(direct)","(none)","Direct",0
"159","Ben Shapiro - RMI","google","organic","Organic Search",0
"160","Ben Skinner - RMI","duckduckgo","organic","Organic Search",0
"161","Benchmarking and Roadmaps to Zero - RMI","comms","email","Email",0
"162","Benefits - RMI","(direct)","(none)","Direct",0
"163","Benjamin Bartle - RMI","google","organic","Organic Search",0
"164","Benson Kibiti - RMI","google","organic","Organic Search",0
"165","Bermuda Electrifies a Third of its Public Bus Fleet - RMI","google","organic","Organic Search",0
"166","Bermuda Powered by Nature: The Road to Clean Mobility and Energy - RMI","(direct)","(none)","Direct",0
"167","Better Energy Will Lead to Greater Prosperity: The Energy Transitions Commission Makes Its Case - RMI","google","organic","Organic Search",0
"168","Beyond Bitcoin: As Blockchain Adoption Accelerates, a Need to Manage Energy and Climate Emerges - RMI","google","organic","Organic Search",0
"169","Beyond Buying Renewables: How Cities Can Influence the Energy System - RMI","google","organic","Organic Search",0
"170","Beyond Energy Efficiency—Using the Power of Data to Find the Cleanest Hours of the Day - RMI","google","organic","Organic Search",0
"171","Beyond the Buzz: What Can Blockchain Do for Carbon Markets? - RMI","(direct)","(none)","Direct",0
"172","Bidding on the Future: How Auctions Help Policymakers Unlock Climate Action - RMI","google","organic","Organic Search",0
"173","Biden’s Executive Order on Blockchain for Climate Transparency: Here’s How It Could Work - RMI","epa.gov","referral","Referral",0
"174","Big Pipes, Small Pumps: Interface, Inc. Factor Ten Engineering Case Study - RMI","google","organic","Organic Search",0
"175","Bill Joy - RMI","google","organic","Organic Search",0
"176","Biomethane Industry Outlook under the Carbon Neutrality Goal - RMI","(direct)","(none)","Direct",0
"177","Black Bear Energy - RMI","google","organic","Organic Search",0
"178","Blockchain Is Reimagining the Rules of the Game in the Energy Sector - RMI","(direct)","(none)","Direct",0
"179","Blockchain in Energy: Powered by EWF - RMI","google","organic","Organic Search",0
"180","Blog Archives - RMI","bing","organic","Organic Search",0
"181","Blueprints for a Green City - RMI","(direct)","(none)","Direct",0
"182","Board of Trustees - RMI","(direct)","(none)","Direct",0
"183","Book Archives - RMI","google","organic","Organic Search",0
"184","Boosting Climate Resilience: Preparing and De-risking Renewable Energy Projects in the Caribbean - RMI","uce","email","Email",0
"185","Boosting Community Resilience by Building Nigeria's First Solar- and Battery-Powered Undergrid Minigrid - RMI","facebook","social","Organic Social",0
"186","Boulder Commons - RMI","(direct)","(none)","Direct",0
"187","Boulder Commons Sets New Standard for Net-Zero Leases - RMI","google","organic","Organic Search",0
"188","Brady Seals - RMI","(direct)","(none)","Direct",0
"189","Breaking Down Silos: Lessons from Indonesia’s Coal Transition Kick-off - RMI","(direct)","(none)","Direct",0
"190","Breaking Down the Inflation Reduction Act. Program by Program. Incentive by Incentive. - RMI","(direct)","(none)","Direct",0
"191","Breakthrough Batteries - RMI","ases.org","referral","Referral",0
"192","Brett Bridgeland - RMI","google","organic","Organic Search",0
"193","Brett KenCairn - RMI","bing","organic","Organic Search",0
"194","Brett Webster - RMI","google","organic","Organic Search",0
"195","Brexit and Climate Change: 4 Questions Answered - RMI","de.wikipedia.org","referral","Referral",0
"196","Brian O'Hanlon - RMI","(direct)","(none)","Direct",0
"197","Brian Payer - RMI","google","organic","Organic Search",0
"198","Bridges to New Solar Business Models - RMI","(direct)","(none)","Direct",0
"199","Bringing Batteries to the Helm of Grid Services - RMI","bing","organic","Organic Search",0
"200","Bringing Cities and Their Utilities into the 21st Century - RMI","(direct)","(none)","Direct",0
"201","Bringing Clean Deliveries to India - RMI","cleantechnica.com","referral","Referral",0
"202","Bringing Clean Energy Home - RMI","(direct)","(none)","Direct",0
"203","Bringing Electricity Markets to China: Adapting International Experience in Power Sector Deregulation to Fit China’s Economy - RMI","google","organic","Organic Search",0
"204","Bringing Solar Power to the People - RMI","(direct)","(none)","Direct",0
"205","Bringing a Distribution System Operator to Life - RMI","google","organic","Organic Search",0
"206","Brittle Power - RMI","(direct)","(none)","Direct",0
"207","Brittle Power: Energy Strategy for National Security - RMI","(direct)","(none)","Direct",0
"208","Bryan Fisher - RMI","google","organic","Organic Search",0
"209","Bryn Grunwald - RMI","ecosia.org","organic","Organic Search",0
"210","Build Back Better Homes - RMI","google","organic","Organic Search",0
"211","Build Mixed-Income Housing in Wealthy Urban Neighborhoods - RMI","(direct)","(none)","Direct",0
"212","Building Community Prosperity Through Natural Capitalism - RMI","google","organic","Organic Search",0
"213","Building Electrification - RMI","(direct)","(none)","Direct",0
"214","Building Electrification Archives - Page 2 of 9 - RMI","google","organic","Organic Search",0
"215","Building Electrification Archives - Page 9 of 9 - RMI","google","organic","Organic Search",0
"216","Building Electrification Archives - RMI","enviropolitics.com","referral","Referral",0
"217","Building Electrification Helps Illinois Achieve Climate Goals - RMI","energyindepth.org","referral","Referral",0
"218","Building Electrification: A Key to a Safe Climate Future - RMI","google","organic","Organic Search",0
"219","Building Electrification: Opportunities for Job Training while Sheltering in Place - RMI","codesforclimate.org","referral","Referral",0
"220","Building Energy Modeling for Owners and Managers: A Guide to Specifying and Securing Services - RMI","(direct)","(none)","Direct",0
"221","Building Urbanism into Climate Policy - RMI","google","organic","Organic Search",0
"222","Building an Electric Bus Ecosystem in Indian Cities - RMI","google","organic","Organic Search",0
"223","Building on Record Growth, Funding, and Impact, RMI Seeks New Leader as Longtime CEO Announces Plans to Step Down - RMI","bing","organic","Organic Search",0
"224","Building on Success: Colorado Makes Big Additional Investments in Climate. What’s Next? - RMI","cleantechnica.com","referral","Referral",0
"225","Building the Electricity System of the Future: Fort Collins and FortZED - RMI","google","organic","Organic Search",0
"226","Buildings Archives - Page 12 of 58 - RMI","google","organic","Organic Search",0
"227","Buildings Archives - Page 2 of 56 - RMI","google","organic","Organic Search",0
"228","Buildings Archives - Page 2 of 57 - RMI","(direct)","(none)","Direct",0
"229","Buildings Archives - Page 4 of 57 - RMI","google","organic","Organic Search",0
"230","Buildings Archives - RMI","(direct)","(none)","Direct",0
"231","Buscar - RMI","google","organic","Organic Search",0
"232","Business Models and Regulatory Design - RMI","(direct)","(none)","Direct",0
"233","Buy Clean and Beyond - RMI","(direct)","(none)","Direct",0
"234","Buy a Ford, Donate to RMI - RMI","google","organic","Organic Search",0
"235","By the Numbers: Low-Income Energy Assistance - RMI","(direct)","(none)","Direct",0
"236","COMET - RMI","(direct)","(none)","Direct",0
"237","COMETA - RMI","www-eldiario-es.cdn.ampproject.org","referral","Referral",0
"238","COP24: Calling on the World to Act - RMI","(direct)","(none)","Direct",0
"239","COP26 Action Plan - RMI","(direct)","(none)","Direct",0
"240","Caitlin Odom - RMI","google","organic","Organic Search",0
"241","Caitlin Smith - RMI","google","organic","Organic Search",0
"242","Calculate Impacts - RMI","(direct)","(none)","Direct",0
"243","Calculating Parity Between Gas and Coal Life-cycle Emissions - RMI","(direct)","(none)","Direct",0
"244","Calibrating US Tax C...~https://rmi.org/insight/calibrating-us-tax-credits-for-grid-connected-hydrogen-production/","(direct)","(none)","Direct",0
"245","Calibrating US Tax Credits for Grid-Connected Hydrogen Production: A Recommendation, a Flexibility, and a Red Line. - RMI","(direct)","(none)","Direct",0
"246","California Becomes the First State to Commit to Ending the Sale of Polluting Heaters by 2030 - RMI","google","organic","Organic Search",0
"247","California Can’t Wait on All-Electric New Building Code - RMI","google","organic","Organic Search",0
"248","California Electricity: Facts, Myths, and National Lessons - RMI","google","organic","Organic Search",0
"249","California Should Go All-Electric in New Construction—State’s Largest Utility Agrees - RMI","(direct)","(none)","Direct",0
"250","Can We Count on Forest Carbon Credits? - RMI","(direct)","(none)","Direct",0
"251","Canada Announces CA$9.5 Million for the Climate Finance Access Network - RMI","appeal-wbn","email","Email",0
"252","Canada Commits Millions to Scale Energy Resilience in the Caribbean - RMI","(direct)","(none)","Direct",0
"253","Capturing Value Through Portfolio Energy Optimization - RMI","news.google.com","referral","Organic Search",0
"254","Capturing the Productive Use Dividend - RMI","ifpri.org","referral","Referral",0
"255","Cara Maesano - RMI","google","organic","Organic Search",0
"256","Carbon Dioxide Removal - RMI","(direct)","(none)","Direct",0
"257","Carbon Markets Initiative - RMI","(direct)","(none)","Direct",0
"258","Carbon Neutrality Based on Native-Site Carbon Storage - RMI","google","organic","Organic Search",0
"259","Carbon War Room - RMI","(direct)","(none)","Direct",0
"260","Carbon-Free Buildings - RMI","(direct)","(none)","Direct",0
"261","Carbon-Free City Handbook: Transportation and Mobility - RMI","(direct)","(none)","Direct",0
"262","Carbon-Free Electricity - RMI","(direct)","(none)","Direct",0
"263","Carbon-Free Electricity: The Path to Our Clean Energy Future - RMI","(direct)","(none)","Direct",0
"264","Carbon-Free Transportation - RMI","(direct)","(none)","Direct",0
"265","Carbon-Neutral Demonstration Zone: Definition, Planning Methodology, and Case Study - RMI","(direct)","(none)","Direct",0
"266","Carbono incorporado 101: Materiales de construcción - RMI","anahuac.brightspace.com","referral","Referral",0
"267","Carbono incorporado 101: materiales de construcción - RMI","mightybuildings.com","referral","Referral",0
"268","Carmelita Kelly Miller - RMI","google","organic","Organic Search",0
"269","Carmelita Miller: Bringing Impacted Communities to the Table - RMI","google","organic","Organic Search",0
"270","Caroline Bennett - RMI","google","organic","Organic Search",0
"271","Caroline Winslow - RMI","google","organic","Organic Search",0
"272","Case Studies of Economic Analysis and Community Decision Making for Decentralized Wastewater Systems - RMI","(direct)","(none)","Direct",0
"273","Case Study – Storing Green Hydrogen to Safeguard Energy Security - RMI","(direct)","(none)","Direct",0
"274","Case Study: Exploring the Use of Software and Process-Level Primary Data to Reduce GHG Emissions in the Steel Sector - RMI","(direct)","(none)","Direct",0
"275","Cash In on Clean Energy Tour - Orlando - RMI","google","organic","Organic Search",0
"276","Catalyzing the Caribbean’s Clean Energy Transition through Strong Partnerships - RMI","google","organic","Organic Search",0
"277","Celebrating LGBTQ+ Climate Leaders and Changemakers - RMI","google","organic","Organic Search",0
"278","Celebrating Solutions: Thirty Years of RMI - RMI","bing","organic","Organic Search",0
"279","Center for Climate-Aligned Finance - RMI","bing","organic","Organic Search",0
"280","Cerrando las brechas de energía y habilidades ecológicas de Nigeria: un camino hacia un mayor acceso a la energía - RMI","(direct)","(none)","Direct",0
"281","Change the Empire State Building…Change the World - RMI","duckduckgo","organic","Organic Search",0
"282","Changemakers of Today, Leaders of Tomorrow - RMI","bing","organic","Organic Search",0
"283","Charging Ahead: How to Make Electric Mobility Work for All - RMI","comms","email","Email",0
"284","Charles Cannon - RMI","google","organic","Organic Search",0
"285","Charles Teplin - RMI","google","organic","Organic Search",0
"286","Charlie Bloch - RMI","google","organic","Organic Search",0
"287","Charlin Bodley - RMI","(direct)","(none)","Direct",0
"288","Charlotte Matthews - RMI","(direct)","(none)","Direct",0
"289","Charting the Course for Early Truck Electrification - RMI","(direct)","(none)","Direct",0
"290","Charting the Course to Climate-Aligned Finance - RMI","oxfordcourses.brightspace.com","referral","Referral",0
"291","Chasing Contrails: RMI’s Joey Cathcart Takes Off to Cut Airlines’ Climate Toll - RMI","(direct)","(none)","Direct",0
"292","Chathurika Gamage - RMI","(direct)","(none)","Direct",0
"293","Cheaper, Cleaner, Faster - RMI","(direct)","(none)","Direct",0
"294","Chegou a hora de as comunidades abraçarem a energia limpa em brownfields - RMI","cleancapital.com","referral","Referral",0
"295","Chelsea Samot - RMI","(direct)","(none)","Direct",0
"296","China 2050 A Fully Developed Rich Zero-Carbon Economy - RMI","google","organic","Organic Search",0
"297","China Archives - RMI","baidu","organic","Organic Search",0
"298","China Program - RMI","(direct)","(none)","Direct",0
"299","China’s New Green Power Market Increases the Value of Renewables - RMI","google","organic","Organic Search",0
"300","Choose Parameters - RMI","google","organic","Organic Search",0
"301","Chris Magwood - RMI","google","organic","Organic Search",0
"302","Chris Nelder - RMI","(direct)","(none)","Direct",0
"303","Chris Potter - RMI","google","organic","Organic Search",0
"304","Christian Fong - RMI","bing","organic","Organic Search",0
"305","Christian Roselund - RMI","(direct)","(none)","Direct",0
"306","Christopher Burgess - RMI","(direct)","(none)","Direct",0
"307","Cinco mitos sobre el hidrógeno: desmentidos. - RMI","linkedin.com","referral","Organic Social",0
"308","Cinq mythes sur l’hydrogène – brisés. - IRM","spark","email","Email",0
"309","Cities Archives - Page 4 of 10 - RMI","(direct)","(none)","Direct",0
"310","Cities Archives - RMI","facebook","social","Organic Social",0
"311","City Climate Intelligence - RMI","(direct)","(none)","Direct",0
"312","City Climate Intelligence: Addressing the Urban Emissions Information Gap - RMI","google","organic","Organic Search",0
"313","City Support for Residential Carbon Goals - RMI","runonclimate.org","referral","Referral",0
"314","City of Boulder Climate Action Plan Analysis Report - RMI","google","cpc","Paid Search",0
"315","Ciudades saludables y sin emisiones de carbono - RMI","(direct)","(none)","Direct",0
"316","Claire Wayner - RMI","google","organic","Organic Search",0
"317","Clay Stranger - RMI","google","cpc","Paid Search",0
"318","Clean Energy 101 - RMI","(direct)","(none)","Direct",0
"319","Clean Energy 101: All Plastics Aren’t Created Equal - RMI","(direct)","(none)","Direct",0
"320","Clean Energy 101: Book and Claim - RMI","(direct)","(none)","Direct",0
"321","Clean Energy 101: Carbon Accounting - RMI","elperiodicodelaenergia.com","referral","Referral",0
"322","Clean Energy 101: ESG - RMI","(direct)","(none)","Direct",0
"323","Clean Energy 101: EV Battery Recycling - RMI","(direct)","(none)","Direct",0
"324","Clean Energy 101: Electric Trucks - RMI","(direct)","(none)","Direct",0
"325","Clean Energy 101: Electric Vehicle Charging for Dummies - RMI","(direct)","(none)","Direct",0
"326","Clean Energy 101: Geothermal Heat Pumps - RMI","(direct)","(none)","Direct",0
"327","Clean Energy 101: Heat Pumps - RMI","(direct)","(none)","Direct",0
"328","Clean Energy 101: Methane-Detecting Satellites - RMI","(direct)","(none)","Direct",0
"329","Clean Energy 101: RMI Experts Answer Your Questions - RMI","bing","organic","Organic Search",0
"330","Clean Energy 101: Reducing Climate Pollution from the Plastics Industry - RMI","(direct)","(none)","Direct",0
"331","Clean Energy 101: The Colors of Hydrogen - RMI","(direct)","(none)","Direct",0
"332","Clean Energy 101: The REC Market - RMI","(direct)","(none)","Direct",0
"333","Clean Energy 101: Virtual Power Plants - RMI","(direct)","(none)","Direct",0
"334","Clean Energy 101: What Are Flexiwatts and How Can I Get Some? - RMI","google","organic","Organic Search",0
"335","Clean Energy 101: Why and How to Fund the Decarbonization of Aluminum - RMI","google","organic","Organic Search",0
"336","Clean Energy Can Fuel Competitiveness - RMI","google","organic","Organic Search",0
"337","Clean Energy Economy Opportunity by State - RMI","(direct)","(none)","Direct",0
"338","Clean Energy Has Won the Economic Race - RMI","google","organic","Organic Search",0
"339","Clean Energy Just Makes Sense - RMI","google","organic","Organic Search",0
"340","Clean Energy Portfolios - RMI","google","cpc","Paid Search",0
"341","Clean Heat Forum - RMI","(direct)","(none)","Direct",0
